cellid,birthsAfter,birthsBefore,dIMR,dNL,imrAfter,imrBefore,lat,lon,nlAfter,nlBefore
100498,891.0,1392.0,6.8646240234375,0,37.03703689575195,30.172412872314453,-20.25,28.75,5,5
101916,173.0,350.0,-33.95541000366211,0,28.9017333984375,62.85714340209961,-19.25,17.75,1,1
101940,187.0,292.0,18.148853302001953,0,69.51871490478516,51.3698616027832,-19.25,29.75,1,1
101946,162.0,146.0,48.11431884765625,1,123.456787109375,75.34246826171875,-19.25,32.75,2,1
101976,402.0,295.0,-51.06669998168945,3,9.950248718261719,61.01694869995117,-19.25,47.75,4,1
103383,375.0,417.0,3.491607666015625,0,34.66666793823242,31.175060272216797,-18.25,31.25,10,10
104103,945.0,1096.0,8.493606567382812,1,55.02645492553711,46.5328483581543,-17.75,31.25,5,4
106271,2819.0,3549.0,-59.50664520263672,1,91.52181243896484,151.02845764160156,-16.25,35.25,3,2
106977,148.0,181.0,39.98058319091797,4,128.3783721923828,88.39778900146484,-15.75,28.25,10,6
106991,5330.0,5794.0,-51.73333740234375,1,75.98499298095703,127.71833038330078,-15.75,35.25,3,2
109148,1383.0,1542.0,-46.392967224121094,2,65.79898834228516,112.19195556640625,-14.25,33.75,4,2
110577,141.0,160.0,-124.51241302490234,2,56.737586975097656,181.25,-13.25,28.25,4,2
110578,122.0,107.0,-46.575767517089844,1,65.57376861572266,112.1495361328125,-13.25,28.75,4,3
111296,109.0,118.0,-2.1769561767578125,1,82.56880950927734,84.74576568603516,-12.75,27.75,2,1
111297,300.0,307.0,-31.129207611083984,1,63.33333206176758,94.46253967285156,-12.75,28.25,4,3
112736,318.0,133.0,-59.32283401489258,2,53.4591178894043,112.78195190429688,-11.75,27.75,4,2
119239,240.0,206.0,-107.4433708190918,4,33.33333206176758,140.77670288085938,-7.25,39.25,7,3
119959,1597.0,1564.0,-37.726585388183594,1,60.73888397216797,98.46546936035156,-6.75,39.25,2,1
123511,3417.0,1985.0,-2.248645782470703,2,56.189640045166016,58.43828582763672,-4.25,15.25,3,1
123560,260.0,434.0,-39.86174774169922,2,50.0,89.86174774169922,-4.25,39.75,5,3
124259,854.0,303.0,-87.83747482299805,0,57.37704849243164,145.2145233154297,-3.75,29.25,1,1
124979,3899.0,1363.0,-69.84520721435547,0,60.01538848876953,129.860595703125,-3.25,29.25,1,1
126427,187.0,130.0,-5.0596466064453125,1,64.1711196899414,69.23076629638672,-2.25,33.25,2,1
127100,127.0,102.0,-25.397560119628906,0,23.622047424316406,49.01960754394531,-1.75,9.75,2,2
127141,5619.0,4389.0,-34.993202209472656,2,63.89037322998047,98.88357543945312,-1.75,30.25,3,1
127859,365.0,209.0,-66.78901672363281,1,95.89041137695312,162.67942810058594,-1.25,29.25,2,1
127874,1427.0,1705.0,0.22893142700195312,2,55.360897064208984,55.13196563720703,-1.25,36.75,6,4
127875,292.0,357.0,-53.528260231018066,4,13.698630332946777,67.22689056396484,-1.25,37.25,5,1
128594,315.0,398.0,36.51591110229492,3,66.66666412353516,30.150753021240234,-0.75,36.75,6,3
128595,452.0,658.0,14.699947357177734,4,66.3716812133789,51.67173385620117,-0.75,37.25,5,1
129313,237.0,368.0,6.581361770629883,1,33.75527572631836,27.173913955688477,-0.25,36.25,2,1
130746,726.0,1030.0,6.734600067138672,5,68.87052154541016,62.135921478271484,0.75,32.75,7,2
135740,2105.0,1880.0,-9.80694580078125,2,50.83135223388672,60.63829803466797,4.25,9.75,5,3
135744,280.0,329.0,-13.677810668945312,3,71.42857360839844,85.10638427734375,4.25,11.75,6,3
136453,1057.0,682.0,-21.842926025390625,-5,98.39167785644531,120.23460388183594,4.75,6.25,9,14
136454,614.0,358.0,-22.155296325683594,-17,89.57654571533203,111.73184204101562,4.75,6.75,10,27
136455,1018.0,560.0,-17.84661865234375,-10,58.93909454345703,76.78571319580078,4.75,7.25,11,21
136456,967.0,630.0,3.50946044921875,-8,76.52533721923828,73.01587677001953,4.75,7.75,3,11
136457,1084.0,583.0,4.800849914550781,0,68.26568603515625,63.46483612060547,4.75,8.25,6,6
137152,939.0,1653.0,-6.277675628662109,0,63.897762298583984,70.1754379272461,5.25,-4.25,1,1
137157,108.0,238.0,22.019920349121094,2,101.85185241699219,79.8319320678711,5.25,-1.75,3,1
137172,1111.0,529.0,-26.92443084716797,0,103.5103530883789,130.43478393554688,5.25,5.75,6,6
137173,674.0,341.0,-9.27191162109375,-4,84.56973266601562,93.84164428710938,5.25,6.25,6,10
137174,912.0,509.0,-33.905059814453125,-18,80.04386138916016,113.94892120361328,5.25,6.75,17,35
137175,1790.0,1025.0,-11.944404602050781,-9,86.59217834472656,98.53658294677734,5.25,7.25,16,25
137176,1099.0,758.0,3.6912918090820312,0,70.9736099243164,67.28231811523438,5.25,7.75,6,6
137177,377.0,233.0,12.693389892578125,4,111.40583801269531,98.71244812011719,5.25,8.25,6,2
137879,206.0,638.0,-2.26739501953125,6,77.66990661621094,79.93730163574219,5.75,-0.75,8,2
137880,710.0,1687.0,-7.539009094238281,6,42.25352096557617,49.79253005981445,5.75,-0.25,13,7
137892,775.0,412.0,-24.24365997314453,-14,41.290321350097656,65.53398132324219,5.75,5.75,9,23
137893,343.0,240.0,-26.70068359375,-8,81.63265228271484,108.33333587646484,5.75,6.25,14,22
137894,846.0,482.0,0.88775634765625,-11,100.47281646728516,99.5850601196289,5.75,6.75,25,36
137895,1264.0,960.0,3.322784423828125,-4,78.32278442382812,75.0,5.75,7.25,11,15
137896,1079.0,706.0,-15.11077880859375,1,125.1158447265625,140.22662353515625,5.75,7.75,3,2
138597,210.0,469.0,20.11371612548828,1,90.47618865966797,70.36247253417969,6.25,-1.75,2,1
138599,155.0,423.0,-9.85281753540039,1,51.6129035949707,61.465721130371094,6.25,-0.75,2,1
138600,114.0,419.0,-34.89929962158203,3,43.859649658203125,78.75894927978516,6.25,-0.25,4,1
138602,141.0,529.0,-18.407543182373047,3,49.645389556884766,68.05293273925781,6.25,0.75,5,2
138611,155.0,115.0,20.757362365722656,2,90.32257843017578,69.56521606445312,6.25,5.25,9,7
138612,1076.0,567.0,-23.983264923095703,6,48.3271369934082,72.3104019165039,6.25,5.75,20,14
138613,546.0,445.0,24.406307220458984,2,80.5860824584961,56.17977523803711,6.25,6.25,10,8
138614,1523.0,964.0,-4.222938537597656,1,66.31648254394531,70.53942108154297,6.25,6.75,5,4
138615,1060.0,610.0,-6.9440155029296875,1,78.30188751220703,85.24590301513672,6.25,7.25,8,7
139317,554.0,1238.0,-2.012096405029297,6,57.76173400878906,59.77383041381836,6.75,-1.75,9,3
139326,3107.0,1923.0,-27.15020751953125,6,50.85291290283203,78.00312042236328,6.75,2.75,9,3
139327,2811.0,1435.0,-14.282615661621094,6,67.94734954833984,82.22996520996094,6.75,3.25,10,4
139328,832.0,488.0,15.447669982910156,7,76.92308044433594,61.47541046142578,6.75,3.75,18,11
139329,226.0,123.0,5.7558135986328125,0,70.79646301269531,65.0406494140625,6.75,4.25,1,1
139332,329.0,195.0,12.173637390136719,2,94.22492218017578,82.05128479003906,6.75,5.75,5,3
139333,655.0,375.0,16.12213897705078,0,64.12213897705078,48.0,6.75,6.25,1,1
139336,521.0,421.0,18.158935546875,3,153.5508575439453,135.3919219970703,6.75,7.75,5,2
140030,191.0,232.0,15.7293701171875,2,89.00523376464844,73.27586364746094,7.25,-5.25,3,1
140047,388.0,269.0,-1.044342041015625,1,69.58763122558594,70.63197326660156,7.25,3.25,2,1
140048,1097.0,672.0,-11.545284271240234,2,46.49042892456055,58.03571319580078,7.25,3.75,5,3
140049,470.0,321.0,-45.81428146362305,0,38.29787063598633,84.11215209960938,7.25,4.25,2,2
140051,679.0,460.0,-28.958831787109375,1,47.12812805175781,76.08695983886719,7.25,5.25,2,1
140750,795.0,730.0,-30.53329849243164,2,35.22012710571289,65.75342559814453,7.75,-5.25,3,1
140769,928.0,482.0,-10.677494049072266,3,47.41379165649414,58.091285705566406,7.75,4.25,7,4
140770,942.0,550.0,-7.836326599121094,1,46.709129333496094,54.54545593261719,7.75,4.75,2,1
140771,1409.0,829.0,-3.9569854736328125,1,78.06954956054688,82.02653503417969,7.75,5.25,2,1
140773,678.0,413.0,-9.856651306152344,0,53.09734344482422,62.95399475097656,7.75,6.25,1,1
140774,302.0,155.0,-16.962188720703125,-1,92.7152328491211,109.67742156982422,7.75,6.75,1,2
141489,361.0,201.0,-26.91529083251953,0,77.56232452392578,104.47761535644531,8.25,4.25,1,1
141490,851.0,491.0,-16.759963989257812,2,42.30317306518555,59.06313705444336,8.25,4.75,3,1
142210,559.0,314.0,-27.739482879638672,1,51.878353118896484,79.61783599853516,8.75,4.75,3,2
142935,1203.0,627.0,-46.804840087890625,2,64.83790588378906,111.64274597167969,9.25,7.25,3,1
142936,931.0,691.0,-13.688346862792969,10,97.7443618774414,111.43270874023438,9.25,7.75,14,4
